lag,ccf,se,significant_95
-20,0.02163440672700392,0.038014296063485276,False
-19,-0.0319570232952583,0.038014296063485276,False
-18,-0.03177678710894649,0.038014296063485276,False
-17,-0.034931150362761516,0.038014296063485276,False
-16,-0.013871358384875384,0.038014296063485276,False
-15,0.11093377843258688,0.038014296063485276,True
-14,0.01763607413920932,0.038014296063485276,False
-13,0.06731563117323798,0.038014296063485276,False
-12,-0.023036578705230914,0.038014296063485276,False
-11,-0.030750448254756396,0.038014296063485276,False
-10,-0.02717325991296251,0.038014296063485276,False
-9,0.06377457330186216,0.038014296063485276,False
-8,0.06014520147182225,0.038014296063485276,False
-7,-0.060410293777489577,0.038014296063485276,False
-6,0.012010665156571423,0.038014296063485276,False
-5,0.0039660629933684095,0.038014296063485276,False
-4,0.020000688609770084,0.038014296063485276,False
-3,0.012969442637763852,0.038014296063485276,False
-2,-0.0076337394778371054,0.038014296063485276,False
-1,-0.07778463720123974,0.038014296063485276,True
0,-0.6149022249325893,0.038014296063485276,True
1,-0.09185997105997612,0.038014296063485276,True
2,0.01956385463612456,0.038014296063485276,False
3,-0.014028324952049896,0.038014296063485276,False
4,0.05856647961780891,0.038014296063485276,False
5,-0.06252114006620137,0.038014296063485276,False
6,-0.024441092039994925,0.038014296063485276,False
7,0.004927924175081478,0.038014296063485276,False
8,0.06072500924802286,0.038014296063485276,False
9,-0.02321239374843982,0.038014296063485276,False
10,-0.025361928409491936,0.038014296063485276,False
11,-0.015403167108783207,0.038014296063485276,False
12,-0.0379500753648025,0.038014296063485276,False
13,0.06341332886061078,0.038014296063485276,False
14,-0.0023515812560605887,0.038014296063485276,False
15,0.02322972173456302,0.038014296063485276,False
16,0.02932966181743667,0.038014296063485276,False
17,-0.0547710895349701,0.038014296063485276,False
18,-0.05609042575856341,0.038014296063485276,False
19,0.07590457450748667,0.038014296063485276,True
20,-0.008379954110827089,0.038014296063485276,False
