signal,horizon,method,correlation,p_value,n
umcsent_yoy,xlv_fwd_1m,Pearson,0.0511,0.3687,312
umcsent_yoy,xlv_fwd_1m,Spearman,0.0284,0.6175,312
umcsent_yoy,xlv_fwd_3m,Pearson,0.1126,0.0475,310
umcsent_yoy,xlv_fwd_3m,Spearman,0.0898,0.1148,310
umcsent_yoy,xlv_fwd_6m,Pearson,0.155,0.0065,307
umcsent_yoy,xlv_fwd_6m,Spearman,0.1287,0.0241,307
umcsent_yoy,xlv_fwd_12m,Pearson,0.1198,0.0377,301
umcsent_yoy,xlv_fwd_12m,Spearman,0.0553,0.3388,301
umcsent_mom,xlv_fwd_1m,Pearson,-0.0147,0.7929,323
umcsent_mom,xlv_fwd_1m,Spearman,-0.0053,0.924,323
umcsent_mom,xlv_fwd_3m,Pearson,0.0247,0.6598,321
umcsent_mom,xlv_fwd_3m,Spearman,0.0489,0.3828,321
umcsent_mom,xlv_fwd_6m,Pearson,0.0744,0.1857,318
umcsent_mom,xlv_fwd_6m,Spearman,0.1055,0.0603,318
umcsent_mom,xlv_fwd_12m,Pearson,0.0521,0.3589,312
umcsent_mom,xlv_fwd_12m,Spearman,0.0543,0.3387,312
umcsent_zscore,xlv_fwd_1m,Pearson,0.0241,0.6772,301
umcsent_zscore,xlv_fwd_1m,Spearman,0.0196,0.735,301
umcsent_zscore,xlv_fwd_3m,Pearson,0.0823,0.1558,299
umcsent_zscore,xlv_fwd_3m,Spearman,0.0749,0.1966,299
umcsent_zscore,xlv_fwd_6m,Pearson,0.1856,0.0013,296
umcsent_zscore,xlv_fwd_6m,Spearman,0.1714,0.0031,296
umcsent_zscore,xlv_fwd_12m,Pearson,0.1765,0.0026,290
umcsent_zscore,xlv_fwd_12m,Spearman,0.1621,0.0057,290
umcsent_3m_ma,xlv_fwd_1m,Pearson,-0.0263,0.6371,323
umcsent_3m_ma,xlv_fwd_1m,Spearman,-0.0488,0.3819,323
umcsent_3m_ma,xlv_fwd_3m,Pearson,-0.0508,0.3642,321
umcsent_3m_ma,xlv_fwd_3m,Spearman,-0.077,0.1689,321
umcsent_3m_ma,xlv_fwd_6m,Pearson,-0.0845,0.1326,318
umcsent_3m_ma,xlv_fwd_6m,Spearman,-0.1188,0.0342,318
umcsent_3m_ma,xlv_fwd_12m,Pearson,-0.191,0.0007,312
umcsent_3m_ma,xlv_fwd_12m,Spearman,-0.1984,0.0004,312
umcsent_direction,xlv_fwd_1m,Pearson,0.0097,0.8623,323
umcsent_direction,xlv_fwd_1m,Spearman,0.0155,0.7817,323
umcsent_direction,xlv_fwd_3m,Pearson,0.053,0.3436,321
umcsent_direction,xlv_fwd_3m,Spearman,0.079,0.1577,321
umcsent_direction,xlv_fwd_6m,Pearson,0.1285,0.0219,318
umcsent_direction,xlv_fwd_6m,Spearman,0.143,0.0107,318
umcsent_direction,xlv_fwd_12m,Pearson,0.1416,0.0123,312
umcsent_direction,xlv_fwd_12m,Spearman,0.1145,0.0433,312
umcsent_dev_ma,xlv_fwd_1m,Pearson,-0.0019,0.973,323
umcsent_dev_ma,xlv_fwd_1m,Spearman,0.0148,0.7904,323
umcsent_dev_ma,xlv_fwd_3m,Pearson,0.0079,0.8876,321
umcsent_dev_ma,xlv_fwd_3m,Spearman,0.0313,0.5768,321
umcsent_dev_ma,xlv_fwd_6m,Pearson,0.0907,0.1066,318
umcsent_dev_ma,xlv_fwd_6m,Spearman,0.1354,0.0157,318
umcsent_dev_ma,xlv_fwd_12m,Pearson,0.0652,0.2508,312
umcsent_dev_ma,xlv_fwd_12m,Spearman,0.0869,0.1256,312
